,PM25,O3,WS,TEMP,RH,WD
88,14.6,32.0,1,32.0,58,142
89,19.7,11.0,1,30.0,64,129
90,19.7,16.0,1,29.0,68,124
91,20.9,6.0,1,28.0,74,138
92,21.1,0.0,1,28.0,73,153
93,23.1,0.0,1,28.0,74,125
94,27.6,10.0,1,28.0,74,123
95,19.9,4.0,1,27.0,74,111
96,17.5,19.0,1,27.0,73,123
97,18.4,2.0,1,27.0,74,97
98,17.0,0.0,1,26.0,77,94
99,17.4,3.0,1,26.0,76,98
100,18.9,0.0,1,26.0,75,99
101,14.6,1.0,1,26.0,77,109
102,13.8,1.0,1,26.0,75,110
103,19.9,1.0,1,27.0,74,107
104,20.1,0.0,1,28.0,69,90
105,19.0,0.0,1,30.0,66,114
106,18.5,2.0,1,30.0,63,148
107,21.3,7.0,1,31.0,56,214
108,17.6,1.0,1,31.0,56,232
109,15.3,7.0,1,32.0,49,190
110,12.4,11.415652173913044,1,31.0,53,175
111,13.1,32.0,1,31.0,55,201
112,11.6,30.0,1,30.0,58,177
113,18.0,30.0,1,29.0,65,152
114,19.2,8.0,1,28.0,70,173
115,19.4,2.0,1,28.0,70,151
116,22.4,1.0,1,28.0,70,123
117,20.4,1.0,1,28.0,71,104
118,21.6,9.0,1,27.0,72,99
119,17.1,20.0,1,27.0,74,114
120,18.6,2.0,1,27.0,77,111
121,19.9,1.0,1,27.0,78,115
122,20.1,0.0,1,27.0,78,114
123,22.7,1.0,1,27.0,78,113
124,20.6,0.0,1,26.0,79,108
125,20.6,4.0,1,26.0,83,105
126,20.0,3.0,1,26.0,82,110
127,23.2,0.0,1,26.0,83,111
128,24.0,1.0,1,29.0,70,123
129,23.8,14.0,1,29.0,68,141
130,28.7,12.0,1,30.0,59,171
131,30.5,1.0,1,31.0,57,178
132,20.2,1.0,1,31.0,59,194
133,21.1,13.0,1,31.0,58,180
134,18.8,1.0,1,31.0,58,170
135,22.4,11.415652173913044,1,31.0,57,202
136,20.7,7.0,1,31.0,61,168
137,17.8,4.0,1,29.0,65,145
138,16.7,4.0,1,29.0,70,147
139,17.8,6.0,1,28.0,73,148
140,20.7,2.0,1,28.0,75,121
141,15.9,20.0,1,28.0,75,114
142,13.8,26.0,1,28.0,76,111
143,17.2,27.0,1,28.0,81,113
144,19.2,31.0,1,27.0,83,113
145,20.9,28.0,1,26.0,89,127
146,19.3,17.0,1,25.0,93,100
147,13.7,6.0,1,25.0,95,91
148,11.8,8.0,1,25.0,96,92
149,14.1,0.0,1,25.0,97,106
150,13.1,3.0,1,25.0,96,122
151,16.6,9.0,1,26.0,94,120
152,17.2,17.0,1,26.0,93,123
153,18.2,23.0,1,27.0,87,234
154,16.4,11.415652173913044,1,28.0,78,231
155,19.1,2.0,1,30.0,69,227
156,16.8,2.0,1,30.0,65,218
157,17.7,2.0,2,28.0,79,228
158,21.3,9.0,1,28.0,78,212
159,19.6,3.0,1,30.0,67,237
160,16.7,11.415652173913044,1,29.0,69,230
161,16.3,0.0,1,28.0,72,190
162,15.9,1.0,1,28.0,74,162
163,20.7,19.0,1,28.0,74,163
164,14.0,8.0,1,28.0,75,176
165,13.5,14.0,1,28.0,77,131
166,15.7,0.0,1,27.0,79,116
167,11.9,0.0,1,27.0,82,117
168,13.9,1.0,1,27.0,83,113
169,15.7,15.0,1,27.0,83,103
170,10.3,22.0,1,27.0,84,103
171,16.5,0.0,1,27.0,84,98
172,11.2,1.0,1,27.0,84,106
173,19.4,0.0,1,26.0,86,108
174,14.6,1.0,1,27.0,85,115
175,14.2,13.0,1,27.0,83,113
176,13.1,9.0,1,27.0,85,110
177,16.8,1.0,1,28.0,78,115
178,14.1,0.0,1,29.0,75,155
179,17.6904,0.0,1,30.0,68,166
180,16.5,4.0,1,30.0,65,211
181,13.8,5.0,1,31.0,65,201
182,16.2,2.0,1,31.0,62,214
183,16.9,0.0,1,31.0,63,182
184,14.6,0.0,1,30.0,67,190
185,15.5,11.415652173913044,1,29.0,72,178
186,16.7,6.0,1,28.0,79,188
187,14.5,5.0,1,28.0,78,173
188,15.2,1.0,1,28.0,78,170
189,13.3,1.0,1,28.0,78,181
190,15.9,0.0,1,27.0,79,133
191,11.2,0.0,1,27.0,80,120
192,13.2,2.0,1,27.0,81,115
193,13.5,14.0,1,27.0,81,106
194,14.9,11.0,1,27.0,82,109
195,13.8,1.0,1,27.0,80,112
196,13.3,1.0,1,26.0,82,110
197,14.9,3.0,1,27.0,82,112
198,11.7,0.0,1,26.0,87,109
199,18.0,4.0,1,26.0,90,111
200,20.4,6.0,1,28.0,79,154
201,12.6,21.0,1,29.0,74,195
202,9.9,22.0,1,30.0,68,134
203,13.9,22.0,1,31.0,63,164
204,19.5,0.0,1,31.0,64,149
205,17.5,1.0,1,31.0,64,198
206,11.7,8.0,1,30.0,65,182
207,12.5,1.0,1,31.0,64,166
208,12.8,0.0,2,30.0,69,133
209,14.7,4.0,2,29.0,71,133
210,15.7,11.415652173913044,1,29.0,75,124
211,18.6,8.0,1,28.0,77,120
212,17.8,6.0,1,28.0,80,110
213,13.2,14.0,1,28.0,82,109
